ticker,ex_div_date,dividend_amount,entry_date,entry_type,entry_price,exit_date,exit_price,holding_days,entry_vix,exit_vix,entry_zscore,entry_premium_discount,gross_return_bps,bid_ask_cost_bps,borrow_fee_bps,net_return_bps,won,regime,regime_calm,regime_stressed
PDI,2023-01-12,0.221,2023-01-11,t_minus_1_close,19.95,2023-01-19,20.05,5,21.09,20.52,1.5856376836601642,10.342925039405,-50.12,21.55,5.75,-77.43,False,Stressed (>20),False,True
PDI,2023-01-12,0.221,2023-01-11,t_minus_1_close,19.95,2023-01-26,20.44,10,21.09,18.73,1.5856376836601642,10.342925039405,-245.61,21.55,11.51,-278.67,False,Stressed (>20),False,True
PDI,2023-01-12,0.221,2023-01-11,t_minus_1_close,19.95,2023-02-02,21.1,15,21.09,18.73,1.5856376836601642,10.342925039405,-576.44,21.55,17.26,-615.26,False,Stressed (>20),False,True
PDI,2023-01-12,0.221,2023-01-11,t_minus_1_close,19.95,2023-02-09,20.9,20,21.09,20.71,1.5856376836601642,10.342925039405,-476.19,21.55,23.01,-520.76,False,Stressed (>20),False,True
PDI,2023-01-12,0.221,2023-01-12,ex_div_open,19.83,2023-01-20,20.23,5,18.83,19.85,1.3847010209706792,9.78865558226221,-201.71,21.68,5.75,-229.15,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_open,19.83,2023-01-27,20.53,10,18.83,18.51,1.3847010209706792,9.78865558226221,-353.0,21.68,11.51,-386.19,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_open,19.83,2023-02-03,20.92,15,18.83,18.33,1.3847010209706792,9.78865558226221,-549.67,21.68,17.26,-588.62,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_open,19.83,2023-02-10,20.66,20,18.83,20.53,1.3847010209706792,9.78865558226221,-418.56,21.68,23.01,-463.26,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_close,19.74,2023-01-20,20.23,5,18.83,19.85,1.3847010209706792,9.78865558226221,-248.23,21.78,5.75,-275.76,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_close,19.74,2023-01-27,20.53,10,18.83,18.51,1.3847010209706792,9.78865558226221,-400.2,21.78,11.51,-433.49,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_close,19.74,2023-02-03,20.92,15,18.83,18.33,1.3847010209706792,9.78865558226221,-597.77,21.78,17.26,-636.81,False,Normal (15-20),False,False
PDI,2023-01-12,0.221,2023-01-12,ex_div_close,19.74,2023-02-10,20.66,20,18.83,20.53,1.3847010209706792,9.78865558226221,-466.06,21.78,23.01,-510.86,False,Normal (15-20),False,False
PDI,2023-02-10,0.221,2023-02-09,t_minus_1_close,20.9,2023-02-16,20.5,5,20.71,20.17,2.229109696483826,14.082969250457786,191.39,20.57,5.75,165.06,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-09,t_minus_1_close,20.9,2023-02-24,19.53,10,20.71,21.67,2.229109696483826,14.082969250457786,655.5,20.57,11.51,623.42,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-09,t_minus_1_close,20.9,2023-03-03,19.63,15,20.71,18.49,2.229109696483826,14.082969250457786,607.66,20.57,17.26,569.82,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-09,t_minus_1_close,20.9,2023-03-10,18.89,20,20.71,24.8,2.229109696483826,14.082969250457786,961.72,20.57,23.01,918.13,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_open,20.61,2023-02-17,20.42,5,20.53,20.02,2.2494054757317006,14.269911142661131,92.19,20.86,5.75,65.57,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_open,20.61,2023-02-27,19.53,10,20.53,20.95,2.2494054757317006,14.269911142661131,524.02,20.86,11.51,491.65,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_open,20.61,2023-03-06,19.72,15,20.53,18.61,2.2494054757317006,14.269911142661131,431.83,20.86,17.26,393.71,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_open,20.61,2023-03-13,18.39,20,20.53,26.52,2.2494054757317006,14.269911142661131,1077.15,20.86,23.01,1033.27,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_close,20.66,2023-02-17,20.42,5,20.53,20.02,2.2494054757317006,14.269911142661131,116.17,20.81,5.75,89.6,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_close,20.66,2023-02-27,19.53,10,20.53,20.95,2.2494054757317006,14.269911142661131,546.95,20.81,11.51,514.63,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_close,20.66,2023-03-06,19.72,15,20.53,18.61,2.2494054757317006,14.269911142661131,454.99,20.81,17.26,416.91,True,Stressed (>20),False,True
PDI,2023-02-10,0.221,2023-02-10,ex_div_close,20.66,2023-03-13,18.39,20,20.53,26.52,2.2494054757317006,14.269911142661131,1098.74,20.81,23.01,1054.91,True,Stressed (>20),False,True
